データ日時,発電量(kwh),消費量(kwh),売電量(kwh),買電量(kwh)
2024/01/15 00:00,0,0.72,0,3.25
2024/01/15 01:00,0,0.76,0,0.79
2024/01/15 02:00,0,0.92,0,0.95
2024/01/15 03:00,0,1.27,0,1.3
2024/01/15 04:00,0,1.11,0,1.14
2024/01/15 05:00,0,0.97,0,0.99
2024/01/15 06:00,0,1.1,0,1.13
2024/01/15 07:00,0,2.13,0,2.14
2024/01/15 08:00,0.05,0.39,0,0.34
2024/01/15 09:00,0.13,0.5,0,0.37
2024/01/15 10:00,0.2,0.6,0.01,0
2024/01/15 11:00,0.13,0.58,0.01,0
2024/01/15 12:00,0.04,0.55,0,0
2024/01/15 13:00,0.07,0.55,0.01,0
2024/01/15 14:00,0.05,1.38,0,0
2024/01/15 15:00,0.01,2.8,0,1.38
2024/01/15 16:00,0,2.66,0,2.68
2024/01/15 17:00,0,2.27,0,2.3
2024/01/15 18:00,0,2.25,0,2.28
2024/01/15 19:00,0,1.63,0,1.66
2024/01/15 20:00,0,1.61,0,1.64
2024/01/15 21:00,0,1.79,0,1.82
2024/01/15 22:00,0,1.48,0,1.51
2024/01/15 23:00,0,1.09,0,2.97
2024/01/16 00:00,0,2.71,0,4.84
2024/01/16 01:00,0,1.31,0,2.99
2024/01/16 02:00,0,1.13,0,1.16
2024/01/16 03:00,0,1.46,0,1.49
2024/01/16 04:00,0,1.53,0,1.56
2024/01/16 05:00,0,1.47,0,1.5
2024/01/16 06:00,0,1.47,0,1.49
2024/01/16 07:00,0,3.38,0,3.38
2024/01/16 08:00,0.07,0.49,0,0.42
2024/01/16 09:00,0.15,0.6,0,0.46
2024/01/16 10:00,0.2,0.59,0,0
2024/01/16 11:00,0.26,0.59,0.01,0
2024/01/16 12:00,0.27,0.58,0.01,0
2024/01/16 13:00,0.23,1.48,0,0.55
2024/01/16 14:00,0.16,0.64,0,0
2024/01/16 15:00,0.03,3.26,0,1.21
2024/01/16 16:00,0,2.4,0,2.42
2024/01/16 17:00,0,2.15,0,2.18
2024/01/16 18:00,0,1.7,0,1.73
2024/01/16 19:00,0,1.73,0,1.76
2024/01/16 20:00,0,1.76,0,1.79
2024/01/16 21:00,0,1.34,0,1.37
2024/01/16 22:00,0,1.35,0,1.38
2024/01/16 23:00,0,1.03,0,3.29
2024/01/17 00:00,0,1.95,0,5.02
2024/01/17 01:00,0,0.98,0,1
